DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0003,11,0,305,0,5.1,3,228,1.32,8669.61,384.55,20,99.33,3.5,36.77,34.93,78.19,5.74,68.93,11.62,33245,651480,69356.88,1006.13,305,305,100,78.2,1.32,8568.37,8553.84,383.34,86.68,0,0,7766.67,240.83,2.17,5.71,55.65,1.6,0,0,787.17,104.62,14.49,5.8,13,13,13,0,41,0,40,90.64,62.82,55.75,2027,1130,-115.47,0,18,11
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0001,0001,01,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0001,0002,01,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0001,0003,01,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,0001,0001,10,0,1132,0,0.25,22,1196,1.84,16148.81,1810.82,44,99.63,5.97,72.91,54.74,100.93,4.31,81.95,27.59,35092,13848888,129190.47,1576.45,1132,1132,100,101.01,1.84,13837.63,9364.28,1808.48,234.01,0,0,3376.89,84.5,1.6,1.51,67.2,2.26,0.25,0,5980.14,774.51,8.9,2.6,8,8,8,0,220,0,190,24.4,4.67,41.53,12203,5068,-114.9,0,83,4
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,0001,0001,11,0,894,0,0.12,7,781,0.9,9066.06,943.46,32,97.9,6.72,54.08,39.3,108.88,6.56,64.07,19.38,4470,3679704,72528.49,1131.96,894,894,100,108.88,0.9,10861.34,10801.11,944.18,165.87,0,0,4707.41,285.35,3.58,6.69,87.14,1.28,0.58,0,6087.44,546.9,8.82,6.62,9,9,9,0,234,0,227,43.34,30.22,42.18,4111,1734,-115,0,8,3
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,0001,0002,10,4,934,0.43,7.1,24,862,2.78,10542.22,878.05,30,99.3,8.22,51.73,32.41,91.55,3.96,90.36,18.86,656162,9240062,84337.76,933.31,934,930,100,91.46,2.78,9513.62,6526.31,871.9,121.04,0,0,2647,444.57,3.03,25.53,80,3.7,0.06,0.55,3879.31,256.2,16.4,1.52,13,13,13,0,213,0,210,27.82,50.99,52.39,9230,4836,-115.15,0,129,434
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,0001,0002,11,0,359,0,7.25,1,318,0.31,4926.9,271.26,16,99.28,5.78,33.45,20.54,178.32,5.05,66.64,9.01,53850,742771,39415.22,591.49,359,359,100,178.4,0.31,5443.71,5425.74,271.29,132.93,0,0,3257.13,93.97,1.73,6.56,201.76,0.49,0.24,0,2168.61,159.72,11.39,4.9,8,8,8,0,113,0,117,59.83,34.64,51.22,1919,983,-115.31,0,4,112
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,0001,0003,10,0,963,0,2.73,44,994,4.43,8504.7,866.84,37,99.19,7.34,78.97,39.17,84.03,1.18,60.31,12.2,140598,5144346,68037.62,1128.15,963,963,100,83.99,4.43,8088.59,7054.7,862.77,322.16,0,0,451.61,60.32,3.32,16.61,78.53,5.61,2.47,0,6499.49,435.24,7.99,0.63,10,10,10,0,208,0,210,5.58,6.99,39.26,5196,2040,-115.48,0,27,143
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,0001,0003,11,0,264,0,1.25,1,260,0.38,4422.15,271.68,16,99.82,4.78,29.45,17.26,98.72,4.12,71.19,10.25,2112,168432,35377.2,496.97,264,264,100,98.73,0.38,4235.46,4221.08,271.4,101.3,0,0,3097.27,168.89,3.86,14.18,94.34,1.3,5.26,0,1123.32,82.32,7.31,2.93,10,10,10,0,183,0,182,73.13,62.23,37.14,630,234,-115.48,0,1,7
