DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc,EBSN_SA_NSA_DRB_Volume
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1437278,0001,0001,11,0,46,0,6.61,0,33,0,498.42,50.09,9,99.88,7.55,7.62,2.86,327.82,4.66,48.46,7.3,1472,22264,3987.33,82.28,46,46,100,327.96,0,786.64,784.4,50.04,412.63,0,0,643.29,30.83,7.94,4.82,128.45,0,2.73,0,139.82,18.32,6,4.97,6,6,6,0,12,0,13,81.78,61.62,54.65,452,247,-115.5,0,2,10,785.33
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1437278,0001,0002,10,0,572,0,2.48,11,592,1.86,13920.04,662.3,29,97.42,4.9,69.53,29.68,219.32,1.48,130.29,10.58,38324,1545544,111360.29,854.72,572,572,100,220.44,1.86,14730.45,11028.12,662,282.87,0.78,0,9775.23,220.06,4.44,0.88,71.57,3.92,6.64,0,1206.9,367.02,11.03,2.23,18,18,18,3,387,0,387,66.36,33.24,43.42,2635,1144,-115.27,0,15,39,14646
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1437278,0001,0002,11,0,205,0,2.39,1,200,0.5,1492.15,34.88,8,99.83,12.99,5.12,4.44,44.76,5.54,93.41,7.58,2050,85690,11937.16,127.8,205,205,100,44.76,0.5,459.58,454.67,34.87,234.66,0,0,34.98,5.59,4.09,9.45,43.19,1.61,3.33,0,417.15,28.67,14.02,5.22,5,5,5,0,138,0,138,7.61,16.04,34.56,408,141,-115.15,0,0,7,457.01
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1437278,0001,0003,10,0,433,0,3.63,9,454,1.98,7546.31,2836.23,21,98.92,5.11,71.15,28.12,117.53,7.41,74.55,44.29,58888,1623317,60370.49,809.78,433,433,100,117.45,1.98,6480,5302.34,2833.18,394.82,0.51,0,3655.56,2651.43,2.04,10.27,74.9,3.11,0.27,0,1644.9,111.32,16.78,0.8,11,11,11,1,197,0,203,56.41,93.59,53.39,3613,1929,-114.38,0,22,49,6477.79
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1437278,0001,0003,11,0,106,0,4.32,2,86,2.33,4690.93,198.27,9,97.85,4.82,27.93,18.65,51.46,2.85,69.85,7.89,1908,44202,37527.43,537.26,106,106,100,51.46,2.33,5448.09,5447.68,198.07,48.01,0,0,5129.54,118.63,4.47,0.9,117.14,4.08,1.47,0,304.38,79.26,9.8,6.05,7,7,7,0,37,0,37,94.15,59.89,50.88,399,203,-113.73,0,1,6,5434.31
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1439278,0001,0001,08,0,0,NaN,NaN,0,0,NaN,27.04,3.55,0,99.39,7.14,0.31,0.5,43.63,3.45,11.99,2.53,0,0,216.32,18.04,0,0,100,43.79,NaN,28.83,0,2.93,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,37.77,323,122,-119.54,0,0,5,28.19
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1439278,0001,0002,08,0,0,NaN,NaN,0,0,NaN,302.95,107.71,0,99.79,17.52,3.34,3.74,114.99,8.17,18,7.17,0,0,2423.63,134.67,0,0,100,120.92,NaN,425.64,0,107.3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,16.06,498,80,-120.43,0,2,4,412.88
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PHILIPS_HWY,1439278,0001,0003,08,0,0,NaN,NaN,0,0,NaN,76.7,7.91,0,99.22,15.63,1.05,1.41,43.15,1.25,12.12,1.68,0,0,613.61,50.61,0,0,100,44.57,NaN,113.77,0,7.92,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,37.54,618,232,-119.49,0,2,84,110.01
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PONTE_VEDRA,1437035,0001,0001,10,0,314,0,1.32,7,318,2.2,6999.75,504.91,19,99.28,4.21,39.42,21.08,322.76,4.34,92.22,14.23,8478,644328,55997.97,607.23,314,314,100,322.92,2.2,7440.09,1853.7,504.63,241.29,0,0,318.94,63.9,2.22,3.61,178.57,6.09,0,0,1531.76,144.1,6.71,2.36,11,11,11,0,203,0,206,4.29,12.66,21.78,2025,441,-115.5,0,21,24,7417.44
09/27/2025,06,5GNR,Florida,143,Jacksonville,ATT_PONTE_VEDRA,1437035,0001,0001,11,0,190,0,2.36,1,196,0.51,772.29,57.79,6,99.77,33.59,3.4,1.66,142.63,9.51,129.02,18.89,1520,64410,6178.34,47.89,190,190,100,142.63,0.51,213.18,209.6,57.79,34.93,0,0,7.51,54.11,3.2,10.03,145.23,5.56,0,0,201.6,2.61,39.48,5.27,5,5,5,0,178,0,174,3.52,93.64,25.98,331,86,-115.76,0,1,8,212.69
