DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0001,01,0,4,0,0,NaN,1,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,4,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0002,01,0,8,0,0,NaN,2,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,8,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0003,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0004,01,0,4,0,0,NaN,1,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,4,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0005,01,0,8,0,0,NaN,2,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,8,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0006,01,0,4,0,0,NaN,1,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,4,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0007,01,0,24,0,0,NaN,6,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,24,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0008,01,0,8,0,0,NaN,2,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,8,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0000,0009,01,0,20,0,0,NaN,5,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,20,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_WEWORK_IRVINE,0470011,0010,0010,01,0,24,0,0,NaN,6,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,24,0,0,0
