"KpiResourcePropID","KpiResourceRelMbrID","PropNameExpr","PropValueExpr","CreatedDte","UpdatedDte","KpiResourceTypeID","created","updated"
7829,7827,Market,Market,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7830,7827,Region,Region,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7831,7827,technology,technology,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7832,7827,version,version,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7833,7827,Site,Site,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7834,7827,Domain,Domain,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7835,7827,domainType,domainType,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7836,7827,NFName,NFName,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7837,7827,NFType,NFType,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7838,7827,interval,interval,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7971,8466,displayName,deviceName,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7972,8466,Market,Market,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7973,8466,Region,Region,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7974,8466,technology,technology,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7975,8466,version,version,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7976,8466,Site,Site,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7977,8466,Domain,Domain,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7978,8466,domainType,domainType,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7979,8466,NFName,NFName,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7980,8466,NFType,NFType,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7981,8466,interval,interval,1662548541,1662548541,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9170,8662,displayName,deviceName,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9171,8662,Market,Market,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9172,8662,Region,Region,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9173,8662,technology,technology,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9174,8662,version,version,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9175,8662,Site,Site,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9176,8662,Domain,Domain,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9177,8662,domainType,domainType,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9178,8662,NFName,NFName,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9179,8662,NFType,NFType,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9180,8662,interval,interval,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9181,8663,displayName,deviceName,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9182,8663,Market,Market,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9183,8663,Region,Region,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9184,8663,technology,technology,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9185,8663,version,version,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9186,8663,Site,Site,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9187,8663,Domain,Domain,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9188,8663,domainType,domainType,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9189,8663,NFName,NFName,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9190,8663,NFType,NFType,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9191,8663,interval,interval,1662737677,1662737677,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9478,8709,displayName,deviceName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9479,8709,Market,Market,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9480,8709,Region,Region,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9481,8709,technology,technology,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9482,8709,version,version,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9483,8709,Site,Site,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
