DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc,EBSN_SA_NSA_DRB_Volume
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST,1437655,0001,0003,10,0,853,0,2.97,18,862,2.09,53932.36,2799.23,45,99.66,4.01,87.86,83.68,105.57,2.7,179.04,35.4,145010,4889396,431458.92,2409.89,853,853,100,105.63,2.09,43913.68,28227.98,2800.99,125.87,4.64,0,22494.37,1140.78,2.59,2.45,63.62,1.12,0.59,0,5716.24,643.96,12.41,1.52,22,22,22,11,237,0,246,51.22,40.73,35.53,5562,1976,-115.35,0,82,93,43866.35
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST,1437655,0001,0003,11,0,293,0,1.35,9,286,3.15,25662.74,1014.52,30,99.52,6.17,57.33,65.53,93.19,7.83,108.78,19.66,2637,194845,205301.92,1887.36,293,293,100,93.18,3.15,34151.58,34108.58,1014.51,92.65,8.42,0,31277.09,861.42,5.49,8.37,97.57,0.52,0,0,2627.56,152.22,13.65,6.16,22,22,22,8,95,0,95,91.58,84.91,33.38,656,219,-115.4,0,3,3,33947.61
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_GNW016,1437733,0001,0001,10,0,60,0,0.4,1,62,1.61,6046.47,254.12,10,98.66,3.23,24.33,14.43,150.16,16.74,116.4,11.6,180,44760,48371.73,415.57,60,60,100,149.86,1.61,5922.6,5922.6,254.09,288.13,0,0,5281.5,90.67,1.83,23.24,62.13,1.67,0,0,551.93,163.42,14.75,16.45,5,5,5,0,2,0,2,89.18,35.68,47.64,743,354,-114.52,0,0,2,5833.44
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_GNW016,1437733,0001,0001,11,0,34,0,1.6,1,29,3.45,460.29,91.21,4,99.04,10.17,5.42,2.44,105.29,11.47,52.32,18.69,102,6392,3682.32,70.38,34,34,100,105.33,3.45,528.39,528.39,89.99,241.88,0,NaN,195.41,7.66,2.57,25.76,84.58,3.57,0,0,331.24,82.33,14.59,11.27,2,2,2,0,1,0,0,36.98,8.51,32.43,185,60,-114.77,0,0,2,526.65
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_GNW016,1437733,0001,0002,10,0,94,0,0,0,96,0,4373.33,145.99,8,99.71,3.15,30.85,18.7,124.95,1.9,64.96,5.26,0,33370,34986.68,538.61,94,94,100,124.91,0,3729.27,3729.27,145.79,124.49,0,0,3372.23,103.36,3.17,1.59,131.01,0,0,0,347.64,42.42,3.02,2.5,6,6,6,0,54,0,55,90.43,70.9,42.25,355,150,-114.54,0,0,0,3719.87
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_GNW016,1437733,0001,0002,11,0,67,0,1,1,55,1.82,2453.47,128.75,8,99.49,2.24,14.64,9.9,185.54,10.09,68.81,9.77,134,13467,19627.73,285.23,67,67,100,185.58,1.82,2827.39,2827.39,128.74,187.95,0,0,2618.5,52.93,1.83,19.39,172.09,5,0,0,199.07,75.81,6.73,9.35,5,5,5,0,35,0,40,92.61,41.12,31.66,199,63,-115.26,0,0,2,2817.56
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_GNW016,1437733,0001,0003,10,0,25,0,0.27,1,28,3.57,2948.54,206.79,5,99.97,2.84,12.4,5.75,185.41,11.73,142.53,18.53,25,9325,23588.35,165.5,25,25,100,185.41,3.57,2896.29,2896.29,206.76,412.57,NaN,NaN,2493.65,89.14,1.3,69,83.64,3.57,0,0,401.47,117.62,10.57,11.52,1,1,1,0,0,0,0,86.1,43.11,51.61,372,192,-114.75,0,0,1,2895.12
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_GNW016,1437733,0001,0003,11,0,14,0,2.36,2,15,13.33,65.28,3.82,1,99.86,8.03,0.47,0.3,83.23,4.77,60.73,9.11,42,1778,522.22,8.6,14,14,100,83.23,13.33,37.52,37.52,3.82,NaN,NaN,NaN,0,0,NaN,NaN,83.23,13.33,0,0,37.52,3.82,8.03,4.77,0,0,0,0,0,0,0,0,0,62.1,124,77,-115.32,0,0,3,37.52
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_J,1437734,0001,0001,08,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST_J,1437734,0001,0001,10,0,241,0,3.55,3,240,1.25,9400.77,656.44,17,99.85,3.69,54.53,38.58,123.79,2.67,67.68,13.38,18075,508992,75206.13,1111.17,241,241,100,124.13,1.25,9235.63,8723.91,656.9,278.97,0,0,4482.24,286.86,1.19,2.29,99.22,1.72,0,0,4240.09,326.16,4.57,2.66,6,6,6,0,66,0,64,48.53,43.67,45.46,2037,926,-116.22,0,121,5,9231.28
