Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'AUPFVMInterface.InErrors_VM_AUPF','AUPFVMInterface.InOctets_VM_AUPF','AUPFVMInterface.InPkts_VM_AUPF','AUPFVMInterface.InThruPeakCnt_VM_AUPF','AUPFVMInterface.InThruPeak_VM_AUPF','AUPFVMInterface.OutErrors_VM_AUPF','AUPFVMInterface.OutOctets_VM_AUPF','AUPFVMInterface.OutPkts_VM_AUPF','AUPFVMInterface.OutThruPeakCnt_VM_AUPF','AUPFVMInterface.OutThruPeak_VM_AUPF'
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,903,3794777,715,2.82,0,1906,7236429,715,5.93
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,3527,715,0.01,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1374602,1496060581,715,4192.57,0,1367256,1309010115,715,4174.16
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1360544,1476149031,715,4243.99,0,1360170,1292780788,715,4251.9
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,894,3753788,715,2.77,0,1889,7156943,715,13.61
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,2945,715,0.01,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1477293,1588900515,715,4531.32,0,1473876,1400086525,715,4543.77
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1490989,1585500196,715,4538.95,0,1488786,1400205805,715,4533.18
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,895,3771191,715,2.73,0,1888,7170326,715,7.76
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-03-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,2589,715,0.01,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1403157,1507588275,716,4632.11,0,1399942,1323065384,716,4648.92
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1504201,1605164074,716,4703.94,0,1501280,1417782073,716,4706.23
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,897,3770956,716,2.67,0,1892,7176106,716,7.96
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-04-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,2836,716,0.01,0,0,0,716,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1745,9858923,715,4.76,0,1363,10257362,715,3.66
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,17,715,0,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,2006,13719003,715,5.52,0,2077,9340608,715,5.91
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,0,715,0,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,2218,4241254,715,21.97,0,354,2357445,715,6.88
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,0,715,0,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01-00-MANAGEMENT,2025-09-27T12:00:00-04:00,3600,0,24,331051,715,0.16,0,3644,1167547,715,17.38
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1077982,1147764915,715,3925.15,0,1075733,1006580260,715,3936.9
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,997363,1059731771,715,3336.02,0,995402,929131628,715,3354.75
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,578,2438825,715,2.07,0,1226,4684726,715,8.73
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,8,69270,715,0.2,0,16,72503,715,0.18
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,960594,1052213254,715,3224.1,0,957775,918904714,715,3233.91
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1015711,1102985587,715,3328.38,0,1013234,967268604,715,3338.21
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,595,2536416,715,2.05,0,1260,4815439,715,4.22
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,0,715,0,0,0,0,715,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1047941,1120425688,716,3374.99,0,1046019,987564064,716,3406.8
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,1091274,1154893069,716,3679.96,0,1089353,1017486367,716,3682.04
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,589,2474789,716,1.96,0,1250,4760740,716,8.93
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-02-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,8,69258,716,0.3,0,16,72537,716,0.3
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,7,42849,716,0.04,0,4,35706,716,0.03
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,3462,716,0.02,0,0,0,716,0
