DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,S5NC_DRBSetupFail_%_SA_SNSSAI6,S5NC_DRBSetupFail_%_den_SA_SNSSAI6,S5NC_DRBSetupFail_num_SA_SNSSAI6,S5NC_PDUSetupFail_%_SA_SNSSAI6,S5NC_PDUSetupFail_%_den_SA_SNSSAI6,S5NC_PDUSetupFail_%_num_SA_SNSSAI6,S5ND_AvgAirIfDelay_DL_SA_us_5QI133_SNSSAI6,S5ND_AvgIPLatency_DL_us_5QI133_SNSSAI6,S5ND_AvgRLCDelay_DL_SA_us_5QI133_SNSSAI6,S5ND_AvgRLCDelay_UL_SA_us_5QI133_SNSSAI6,S5ND_AvgUEThpt_SA_Mbps_5QI133_RFSP95_SNSSAI6,S5ND_DLActiveUE_Avg_SNSSAI6,S5ND_DLRLC_SDU_Drop_pmm%_5QI133_SNSSAI6,S5NR_DLPRBUtilization_%_SNSSAI6,S5NU_AvgPDCPDelay_DL_us_Cell_SNSSAI,S5NU_AvgPDCPDelay_DL_us_Cell_5QI133_SNSSAI6,S5NU_AvgPDCPDelay_UL_us_Cell_SNSSAI,S5NU_AvgPDCPDelay_UL_us_Cell_5QI133_SNSSAI6,S5NU_DLPDCP_SDU_DataVolume_MB_5QI133_SNSSAI6,S5NU_ULPDCP_SDU_DataVolume_MB_5QI133_SNSSAI6,RLCDLPKTDISCARDCNTPDCP_5QI133,RLCDLPKTDROPCNTFULLBUF_5QI133,RLCDLPKTRECEIVECNT_5QI133,Sum_DLRLCDataVolume_MB
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,HAZELTINE-HNRT,0046,46,20,1,5,100,4,4,4.72,0,21.54,0,0,0,7.18,15.82,12.03,2.06,0,0.21,0.53,0,0.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2.18
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,HOTEL_LAFAYETTE_DB-HNRT,0066,66,41.3,19,46,100,30,30,700.25,0.14,314.88,0.02,0.02,0,0.36,18.3,9.8,487.01,0,2.59,6.67,0.01,1.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,487.53
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,HOTEL_LAFAYETTE_DB-HNRT,0067,67,9.8,5,51,100,55,55,8060,0.6,173.55,0.01,0.01,0,2.21,17.63,19.28,3910.35,0,532.86,795.49,0.24,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3910.37
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,HOTEL_LAFAYETTE_DB-HNRT,0068,68,0,0,53,100,48,48,3110.29,0.66,406.72,0.05,0.05,0,0.6,16.46,15.96,2069.03,0,5.05,19.26,0.01,5.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2304.24
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,KENILWORTH-HNRT,0001,1,0,0,1,100,0,0,0.88,0,49.4,0,0,0,2.38,16.55,11.95,0.32,NaN,0,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0.33
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,KENSINGTON-HNRT,0006,6,NaN,0,0,100,0,0,0,0,NaN,0,0,0,0,16.08,4,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,LOCKPORT_ROAD-HNRT,0110,110,0,0,3,100,3,3,67.35,0.01,206.13,0,0,0,0.2,17.02,15.81,47.97,0,3.16,7.14,0,6.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,47.99
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,MARYNER_TOWERS-HNRT,0060,60,6.67,1,15,100,19,19,773.79,0.05,146.49,0,0,0,0.2,18.53,22.16,276.62,0,8.19,25.76,0.01,4.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,277.82
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,MARYNER_TOWERS-HNRT,0062,62,47.8,87,182,100,116,116,4621.28,0.75,299.15,0,0,0,0.14,17.37,17.5,2757.2,0,633.58,907.52,0.27,45.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2757.2
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,BUFF1_HNRT,0700002,MERCY HOSPITAL-HNRT,0126,126,0,0,1,100,0,0,10.03,0.01,0,0,0,0,2,14.47,11.06,0,NaN,0.01,0.04,0,5.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8.34
