DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,1,9.09,1,11,100,8,8,3.98,0.02,59.68,0,0,0,2.86,16.7,11.11,4.76,0,0.19,0.37,0.01,1.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.64,-115.3,-115.14,-115.79,-115.47,0,0,0,NaN,0,NaN,NaN,0,8,0,0,NaN,0,0,0,3,0,NaN,0,0,0.03,5.32
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,2,0,0,1,100,0,0,0.35,0,NaN,0,0,0,0,15.69,2.43,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.81,-115.5,-115.36,-115.89,-115.64,0,0,0,NaN,0,NaN,NaN,0,0,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0049,49,1,11.54,3,26,100,16,16,32.89,0.19,16.71,0,0.01,0.01,20.16,16.07,16.1,29.07,0,0.88,4.76,0.05,1.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.17,-114.76,-115.19,-116.19,-115.58,0.01,0,0,NaN,0,NaN,NaN,0,16,0,0,NaN,0,0,0,12,0,NaN,0,0,0.1,31.08
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0049,49,2,50,1,2,100,2,2,2.64,0.04,30.5,0,0.07,1.97,46.58,14.6,11.34,0.08,0,0.04,0.05,0,2.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.5,-115.88,-116.39,-116.55,-116.33,0.06,0,0,NaN,0,NaN,NaN,0,2,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0.08
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY-33-HNRT,0016,16,1,22.22,2,9,100,5,5,5.4,0.02,19.52,0,0.03,0.08,7.89,15.99,12.55,2.23,0,0.25,0.59,0.01,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.88,-116.06,-115.41,-115.36,-115.68,0.03,0,0,NaN,0,NaN,NaN,0,5,0,0,NaN,0,0,0,4,0,NaN,0,0,0.01,2.23
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY-33-HNRT,0017,17,1,16.67,2,12,100,8,8,14.37,0.05,67.85,0.28,0.25,0.11,2.97,16.59,12.69,9.56,0,0.42,0.99,0.01,3.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.4,-113.9,-115.3,-116.03,-115.41,0.25,0,0,NaN,0,NaN,NaN,0,8,0,0,NaN,0,0,0,5,0,NaN,0,0,0.03,19.22
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY-33-HNRT,0017,17,2,0,0,1,100,1,1,3.26,0.01,32.39,0,0,0,3.03,15,10.13,0.08,0,0.02,0.03,0,3.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.37,-114.16,-115.52,-116.39,-115.61,0,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0.08
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BRISBURN-HNRT,0138,138,1,0,0,5,100,4,4,4.45,0.01,121.17,0,0,0,3.14,16.13,12.05,4.53,0,0.2,0.43,0,4.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.52,-115.66,-115.55,-115.66,-115.85,0,0,0,NaN,0,NaN,NaN,0,4,0,0,NaN,0,0,0,1,0,NaN,0,0,0.04,4.53
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BRISBURN-HNRT,0139,139,1,0,0,5,100,4,4,9.2,0.06,33.07,0,0,0,0.51,15.69,10.92,6.55,0,0.04,1.05,0.01,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.16,-116.07,-115.22,-115.86,-115.58,0,0,0,NaN,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.05,6.55
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BUFFALO_STATE-HNRT,0033,33,1,0,0,4,100,4,4,190.01,0.44,177.22,0,0,0,1.87,17,14.57,132.81,0,4.3,9.44,0.05,6.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.91,-116.63,-116.06,-115.58,-116.3,0,0,0,NaN,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.21,233.39
